Jun  8 17:45:56 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 2, Elapsed: 14.698453417, Service: 2, Service Name: Difference Frame, Request: 44, DONE, Request Elapsed Time: 0.012697407
Jun  8 17:45:56 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 2, Elapsed: 15.013074528, Service: 2, Service Name: Difference Frame, Request: 45, DONE, Request Elapsed Time: 0.005148926
Jun  8 17:45:56 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 2, Elapsed: 15.346299935, Service: 2, Service Name: Difference Frame, Request: 46, DONE, Request Elapsed Time: 0.005059945
Jun  8 17:45:57 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 2, Elapsed: 15.696629027, Service: 2, Service Name: Difference Frame, Request: 47, DONE, Request Elapsed Time: 0.011888445
Jun  8 17:45:57 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 2, Elapsed: 16.020372638, Service: 2, Service Name: Difference Frame, Request: 48, DONE, Request Elapsed Time: 0.008065389
Jun  8 17:45:57 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 2, Elapsed: 16.359112934, Service: 2, Service Name: Difference Frame, Request: 49, DONE, Request Elapsed Time: 0.010205611
Jun  8 17:45:58 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 2, Elapsed: 16.685852971, Service: 2, Service Name: Difference Frame, Request: 50, DONE, Request Elapsed Time: 0.007623222
Jun  8 17:45:58 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 2, Elapsed: 17.013192249, Service: 2, Service Name: Difference Frame, Request: 51, DONE, Request Elapsed Time: 0.005324925
Jun  8 17:45:58 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 2, Elapsed: 17.346551619, Service: 2, Service Name: Difference Frame, Request: 52, DONE, Request Elapsed Time: 0.005331463
Jun  8 17:45:59 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 2, Elapsed: 17.694101082, Service: 2, Service Name: Difference Frame, Request: 53, DONE, Request Elapsed Time: 0.010921296
Jun  8 17:45:59 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 2, Elapsed: 18.025110415, Service: 2, Service Name: Difference Frame, Request: 54, DONE, Request Elapsed Time: 0.009355889
Jun  8 17:45:59 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 2, Elapsed: 18.363656248, Service: 2, Service Name: Difference Frame, Request: 55, DONE, Request Elapsed Time: 0.012201408
Jun  8 17:46:00 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 2, Elapsed: 18.695133248, Service: 2, Service Name: Difference Frame, Request: 56, DONE, Request Elapsed Time: 0.010556574
Jun  8 17:46:00 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 2, Elapsed: 19.020739136, Service: 2, Service Name: Difference Frame, Request: 57, DONE, Request Elapsed Time: 0.008321648
Jun  8 17:46:00 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 2, Elapsed: 19.363794118, Service: 2, Service Name: Difference Frame, Request: 58, DONE, Request Elapsed Time: 0.012244907
Jun  8 17:46:01 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 2, Elapsed: 19.696905062, Service: 2, Service Name: Difference Frame, Request: 59, DONE, Request Elapsed Time: 0.012063148
